session title,start time,end time,duration,day,description,takeaway,location,tracks,format,speakers
Data Center World Power Golf Outing,2026-09-21 12:30:00,2026-09-21 20:00:00,Not set,Monday,"Play the Cowboys Golf Club's 18-hole championship course in Grapevine, Texas. It blends world-class golf with a one-of-a-kind NFL heritage as the only NFL-themed golf club in the world. Recently reimagined, the course now delivers a bold, highly engaging playing experience defined by strategy, playability, and striking visual presentation. This is the perfect opportunity to have fun and connect with other leaders in the data center industry

Price: $399 which includes greens fees, a golf cart, a delicious casual lunch, a fun happy hour, transportation to and from the hotel, and the chance to win prizes and giveaways.

**This opportunity is only available to Data Center End Users/Practitioners/Operators only. Register for a Standard Pass and add golf on to your registration as part of your pass options. Golf club rentals are available.**

** **", ,Dallas Cowboy Golf Club,No tracks found for this session, ,No speakers found for this session
"The Future-Ready Data Center: Power, Reliability, and Resilience at Scale Seminar",2026-09-21 12:30:00,2026-09-21 16:30:00,Half-Day,Monday,"The next generation of data centers must do more than grow. They must adapt to shifting power requirements, increasing operational complexity, evolving cybersecurity threats, and rising expectations for continuous availability.

Emerson brings a unique perspective to this challenge, backed by deep expertise in power generation, industrial automation, reliability, and cybersecurity. In this sponsored seminar, Emerson experts will examine how integrated power management, scalable control strategies, proactive reliability programs, and resilient operations can help data center owners and operators build a stronger foundation for long-term success. Attendees will gain insights into how leading organizations are balancing speed, efficiency, uptime, and security while preparing for the future of AI-driven infrastructure.



**Must express interest via the registration process to attend.******

Speakers include:


• Featured Keynote Speaker: Bill Kleyman, CEO of Apolo.us and Executive Chair, Data Center World
• Adam Lavallee, Business Development Manager for Data Centers




• Brett Benson, Director of Global Power Solutions Marketing & Business Development




• Christian Hager, Strategic Account Executive AI Data Centers & Microgrids




• Phil Jones, Director of Sales AI Data Centers & Microgrids




• Monique Streff, Sales Manager for Power




• Valerie Aubley, Business Development for Data Centers




• Nicholas Janouskovec, Global Product Manager for Cybersecurity", ,Yellow Rose Ballroom,Other,Workshop,No speakers found for this session
Registration Hours,2026-09-21 15:00:00,2026-09-21 19:00:00,Not set,Monday, , ,Longhorn Foyer,No tracks found for this session, ,No speakers found for this session
Data Center World Power Welcome Reception,2026-09-21 17:00:00,2026-09-21 19:00:00,Not set,Monday,"Join us for an evening of connection, collaboration, and Tex-Mex flavor. This opening networking event brings together professionals from across the industry to kick off the event in true Southwest style.

Grab a margarita, share insights over fresh guacamole, and discover new opportunities while mingling with peers in a vibrant, welcoming atmosphere. Whether you're catching up with familiar faces or making new amigos, the Riverwalk Cantina sets the perfect scene for meaningful conversations and memorable connections.", ,Gaylords Riverwalk Cantina,No tracks found for this session, ,No speakers found for this session
Registration Hours,2026-09-22 07:30:00,2026-09-22 19:00:00,Not set,Tuesday, , ,Longhorn Foyer,No tracks found for this session, ,No speakers found for this session
Breakfast,2026-09-22 08:00:00,2026-09-22 08:45:00,Not set,Tuesday, , ,Longhorn B,No tracks found for this session, ,No speakers found for this session
KEYNOTE:  The 200GW Moment: Reinventing the Grid for the AI Economy,2026-09-22 08:45:00,2026-09-22 10:00:00,Not set,Tuesday,"The data center industry is approaching a historic inflection point. By 2030, global data center power demand is projected to exceed 200 gigawatts, rivaling the electricity consumption of major industrial nations. At the same time, AI workloads are driving rack densities from 20 to 30 kW into the 80 to 150 kW range, with individual campuses scaling into the hundreds of megawatts. The pace of growth is unprecedented. The real challenge is how to power this expansion in a way that strengthens grid reliability, protects ratepayers, and accelerates economic development.

In this keynote, we explore how deeper coordination between data center developers and grid operators is reshaping the energy landscape. From campus-level power innovation and transmission planning to market design and long-term contracting strategies, this discussion will examine how collaboration can reduce volatility, unlock new infrastructure investment, and ensure that AI scale benefits communities rather than burdening them. This is a conversation about leadership, accountability, and building the grid required for the next era of intelligence.","• How 200 gigawatts of projected demand can become a catalyst for grid modernization
• Why structured partnerships between utilities and data centers can lower long-term electricity costs
• How hyperscale and AI operators are innovating in power architecture and deployment strategy
• What grid operators are doing to manage reliability amid rapid load growth
• How coordinated planning protects both economic development and ratepayer interests",Longhorn B,No tracks found for this session, ,"Dado Slezak(QTS), Bill Kleyman(Apolo.us), Scott Hart(NRG Business), Alise Porto(Switch)"
Expo Hall,2026-09-22 10:00:00,2026-09-22 12:45:00,Not set,Tuesday, , ,Longhorn A,No tracks found for this session, ,No speakers found for this session
AI Power Block: The Ultimate Solution to AI Data Center Power Bottlenecks,2026-09-22 11:05:00,2026-09-22 11:25:00,20-Minute,Tuesday,"The rapid advancement of artificial intelligence since the introduction of large-scale generative models has triggered a profound transformation in global digital infrastructure. As computational intensity accelerates, AI Data Centers (AIDCs) are rapidly emerging as a new infrastructure paradigm—defined by extreme power density, highly dynamic load behavior, and uninterrupted mission-critical operation requirements.

This evolution is fundamentally reshaping the interaction between digital workloads and the power system. Unlike conventional data centers, AI-driven facilities exhibit highly variable and spiky load profiles, characterized by rapid ramp rates, frequent step changes in multi-megawatt demand, and increasingly stringent requirements for power quality, response speed, and system stability at sub-second timescales. These new characteristics are placing unprecedented pressure on existing grid infrastructure and conventional backup architectures, accelerating the need for more adaptive and intelligent energy solutions.



In this keynote, I will examine how these emerging load dynamics are redefining global energy demand patterns and driving a structural shift in grid planning and infrastructure design.

Building on this context, I will introduce the concept of the AI Power Block—an integrated next-generation energy architecture combining advanced power conversion systems (PCS), high-performance battery systems, and intelligent energy management platforms (EMS). This architecture is designed to address the unique operational requirements of AI workloads, including ultra-fast deployment capability, stable performance under highly volatile load conditions, and optimized system-level energy coordination.



Attendees will gain actionable insights into how this solution overcomes grid interconnection barriers, reduces conversion losses, and enables greater renewable integration—ultimately turning energy infrastructure from a passive support function into a grid-interactive, value-generating core asset for the AI economy.","1. Understand why AI workloads are driving unprecedented demands for power availability, grid stability, and compliance with North American grid interconnection rules.

2. Explore how grid-forming battery energy storage systems (BESS) eliminate grid interconnection delays and cut AIDC deployment timelines by enabling faster utility approval.

3. Learn how advanced energy storage solutions smooth volatile AI workloads, enhance voltage ride-through capability, and strengthen overall power resilience for mission-critical operations.

4. Understand how integrated power architectures reduce conversion losses, and support greater renewable energy utilization while lowering operating costs.

5. Gain practical, field-proven insights into deploying grid-forming energy storage solutions that deliver scalable power, and support sustainable AIDC operations in ERCOT and other North American markets.",Expo Theater,No tracks found for this session,Solutions Spotlight,Brad Li(Sineng Electric)
Lunch,2026-09-22 12:00:00,2026-09-22 12:45:00,Not set,Tuesday, , ,Longhorn B,No tracks found for this session, ,No speakers found for this session
